canonical_name,normalized_name,aliases,primary_competition,competition_source,logo_path,country,review_status,confidence,notes
Girondins,girondins,girondins|Girondins,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=24
Saint Etienne,saintetienne,Saint Etienne|saintetienne,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Lens,lens,lens|Lens,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=18
Niza,niza,niza|Niza,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=18
Toulouse,toulouse,toulouse|Toulouse,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=18
Auxerre,auxerre,Auxerre|auxerre,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=16
Brest,brest,Brest|brest,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=16
Estrasburgo,estrasburgo,estrasburgo|Estrasburgo,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=16
Nantes,nantes,Nantes|nantes,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=16
Lorient,lorient,Lorient|lorient,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Angers,angers,angers|Angers,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Lille Losc,lillelosc,Lille Losc|lillelosc,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Metz,metz,Metz|metz,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Reims,reims,reims|Reims,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Nice,nice,Nice|nice,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Guingamp,guingamp,Guingamp|guingamp,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Olympique de Marsella,olympiquemarsella,Olympique de Marsella|olympiquemarsella,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Ajaccio,ajaccio,ajaccio|Ajaccio,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Burdeos,burdeos,Burdeos|burdeos,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Troyes,troyes,troyes|Troyes,Ligue 1,CURATED_TEAM_CATALOG,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Francia,francia,Francia|francia|France,Selecciones,CURATED_NATIONAL_TEAM,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=100
Francia FEM,franciafem,Francia FEM|franciafem,Selecciones,CURATED_NATIONAL_TEAM,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Francia S21,francias21,Francia S21|francias21,Selecciones,CURATED_NATIONAL_TEAM,,France,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Gabon,gabon,Gabon|gabon,Selecciones,CURATED_NATIONAL_TEAM,,Gabon,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Gambia,gambia,gambia|Gambia,Selecciones,CURATED_NATIONAL_TEAM,,Gambia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Georgia,georgia,georgia|Georgia,Selecciones,CURATED_NATIONAL_TEAM,,Georgia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=52
Bayern M.,bayernm,Bayern M.|bayernm,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=276
B. Dortmund,bdortmund,B. Dortmund|bdortmund,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=250
Bayern Leverkusen,bayernleverkusen,Bayern Leverkusen|bayernleverkusen,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=116
Leipzig,leipzig,leipzig|Leipzig,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=102
Schalke,schalke,schalke|Schalke,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=82
Leverkusen,leverkusen,leverkusen|Leverkusen,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=58
Wolfsburgo,wolfsburgo,wolfsburgo|Wolfsburgo,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=42
Monchenglad,monchenglad,monchenglad|Monchenglad,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=40
Eintracht Frankfurt,eintrachtfrankfurt,Eintracht Frankfurt|eintrachtfrankfurt,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=38
Stuttgart,stuttgart,stuttgart|Stuttgart,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=38
Friburgo,friburgo,friburgo|Friburgo,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=26
Union Berlin,unionberlin,Union Berlin|unionberlin,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Werder Bremen,werderbremen,Werder Bremen|werderbremen,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Hoffenheim,hoffenheim,Hoffenheim|hoffenheim,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=20
Borussia MGladbach,borussiamgladbach,Borussia MGladbach|borussiamgladbach,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=16
Augsburgo,augsburgo,augsburgo|Augsburgo,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=14
Hamburgo,hamburgo,hamburgo|Hamburgo,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=14
Eintracht,eintracht,eintracht|Eintracht,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Mainz,mainz,mainz|Mainz,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Hertha Berlín,herthaberlin,Hertha Berlín|herthaberlin,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Colonia,colonia,Colonia|colonia,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Hannover 96,hannover96,Hannover 96|hannover96,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Schalke 04,schalke04,Schalke 04|schalke04,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Arminia Bielefeld,arminiabielefeld,Arminia Bielefeld|arminiabielefeld,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Darmstadt,darmstadt,Darmstadt|darmstadt,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
F. Dusseldorf,fdusseldorf,F. Dusseldorf|fdusseldorf,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Nuremberg,nuremberg,nuremberg|Nuremberg,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
St. Pauli,stpauli,St. Pauli|stpauli,Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Eintracht FEM,eintrachtfem,Eintracht FEM|eintrachtfem,Frauen-Bundesliga,CURATED_TEAM_CATALOG,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Alemania,alemania,Alemania|alemania|Germany,Selecciones,CURATED_NATIONAL_TEAM,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=96
Alemania FEM,alemaniafem,Alemania FEM|alemaniafem,Selecciones,CURATED_NATIONAL_TEAM,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Alemania S21,alemanias21,Alemania S21|alemanias21,Selecciones,CURATED_NATIONAL_TEAM,,Germany,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Ghana,ghana,Ghana|ghana|GANA,Selecciones,CURATED_NATIONAL_TEAM,,Ghana,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=14
Gibraltar,gibraltar,gibraltar|Gibraltar,Selecciones,CURATED_NATIONAL_TEAM,,Gibraltar,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Grecia,grecia,Grecia|grecia,Selecciones,CURATED_NATIONAL_TEAM,,Greece,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=74
Olympiacos,olympiacos,Olympiacos|olympiacos,Super League Greece,CURATED_TEAM_CATALOG,,Greece,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=134
PAOK,paok,PAOK|paok,Super League Greece,CURATED_TEAM_CATALOG,,Greece,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=30
AEK Atenas,aekatenas,AEK Atenas|aekatenas,Super League Greece,CURATED_TEAM_CATALOG,,Greece,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=28
Panathinaik,panathinaik,Panathinaik|panathinaik,Super League Greece,CURATED_TEAM_CATALOG,,Greece,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=24
Olympiakos,olympiakos,olympiakos|Olympiakos,Super League Greece,CURATED_TEAM_CATALOG,,Greece,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=18
Aris,aris,aris|Aris,Super League Greece,CURATED_TEAM_CATALOG,,Greece,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Guatemala,guatemala,Guatemala|guatemala,Selecciones,CURATED_NATIONAL_TEAM,,Guatemala,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Guinea,guinea,Guinea|guinea,Selecciones,CURATED_NATIONAL_TEAM,,Guinea,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Guinea-Bisau,guineabisau,Guinea-Bisau|guineabisau,Selecciones,CURATED_NATIONAL_TEAM,,Guinea-Bissau,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Haití,haiti,haiti|Haití,Selecciones,CURATED_NATIONAL_TEAM,,Haiti,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Honduras,honduras,Honduras|honduras,Selecciones,CURATED_NATIONAL_TEAM,,Honduras,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Ferencvaros,ferencvaros,Ferencvaros|ferencvaros,Nemzeti Bajnokság I,CURATED_TEAM_CATALOG,,Hungary,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=30
Debreceni,debreceni,debreceni|Debreceni,Nemzeti Bajnokság I,CURATED_TEAM_CATALOG,,Hungary,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Hungría,hungria,hungria|Hungría,Selecciones,CURATED_NATIONAL_TEAM,,Hungary,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=76
Islandia,islandia,islandia|Islandia,Selecciones,CURATED_NATIONAL_TEAM,,Iceland,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=48
Irán,iran,iran|Irán,Selecciones,CURATED_NATIONAL_TEAM,,Iran,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Irak,irak,Irak|irak|Iraq,Selecciones,CURATED_NATIONAL_TEAM,,Iraq,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Rep. Irlanda,repirlanda,Rep. Irlanda|repirlanda,Selecciones,CURATED_NATIONAL_TEAM,,Ireland,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=38
Irlanda,irlanda,irlanda|Irlanda,Selecciones,CURATED_NATIONAL_TEAM,,Ireland,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=26
Irlanda FEM,irlandafem,Irlanda FEM|irlandafem,Selecciones,CURATED_NATIONAL_TEAM,,Ireland,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Maccabi Tel-Aviv,maccabitelaviv,Maccabi Tel-Aviv|maccabitelaviv,Israeli Premier League,CURATED_TEAM_CATALOG,,Israel,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Maccabi Haifa,maccabihaifa,Maccabi Haifa|maccabihaifa,Israeli Premier League,CURATED_TEAM_CATALOG,,Israel,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=18
H. Tel Aviv,htelaviv,H. Tel Aviv|htelaviv,Israeli Premier League,CURATED_TEAM_CATALOG,,Israel,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Hapoel T. A.,hapoelta,Hapoel T. A.|hapoelta,Israeli Premier League,CURATED_TEAM_CATALOG,,Israel,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Israel,israel,israel|Israel,Selecciones,CURATED_NATIONAL_TEAM,,Israel,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=36
Italia,italia,Italia|italia,Selecciones,CURATED_NATIONAL_TEAM,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=90
Italia S21,italias21,Italia S21|italias21,Selecciones,CURATED_NATIONAL_TEAM,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Juventus,juventus,juventus|Juventus,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=284
Inter De Milán,intermilan,Inter De Milán|intermilan,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=240
Nápoles,napoles,napoles|Nápoles,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=208
Milan,milan,Milan|milan,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=204
Roma,roma,Roma|roma,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=198
Lazio,lazio,Lazio|lazio,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=128
Atalanta,atalanta,atalanta|Atalanta,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=126
Fiorentina,fiorentina,fiorentina|Fiorentina,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=90
Bolonia,bolonia,bolonia|Bolonia,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=50
Udinese,udinese,udinese|Udinese,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=44
Sassuolo,sassuolo,sassuolo|Sassuolo,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=38
Torino,torino,torino|Torino,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=38
Cagliari,cagliari,Cagliari|cagliari,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=36
Sampdoria,sampdoria,sampdoria|Sampdoria,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=34
Genoa,genoa,genoa|Genoa,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=24
Parma,parma,parma|Parma,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=24
Empoli,empoli,Empoli|empoli,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Verona,verona,verona|Verona,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=18
Génova,genova,genova|Génova,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=16
Bologna,bologna,Bologna|bologna,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=14
Hellas Verona,hellasverona,Hellas Verona|hellasverona,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Lecce,lecce,lecce|Lecce,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Cremonese,cremonese,cremonese|Cremonese,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Spezia,spezia,Spezia|spezia,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Salernitana,salernitana,Salernitana|salernitana,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Monza,monza,monza|Monza,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Venecia,venecia,venecia|Venecia,Serie A,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Juventus FEM,juventusfem,Juventus FEM|juventusfem,Serie A Femminile,CURATED_TEAM_CATALOG,,Italy,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Costa Marfil,costamarfil,Costa Marfil|costamarfil|Costa de Marfil|Ivory Coast|Côte d'Ivoire,Selecciones,CURATED_NATIONAL_TEAM,,Ivory Coast,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Jamaica,jamaica,jamaica|Jamaica,Selecciones,CURATED_NATIONAL_TEAM,,Jamaica,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Jamaica FEM,jamaicafem,Jamaica FEM|jamaicafem,Selecciones,CURATED_NATIONAL_TEAM,,Jamaica,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Urawa,urawa,Urawa|urawa,J1 League,CURATED_TEAM_CATALOG,,Japan,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Japón,japon,japon|Japón|Japan,Selecciones,CURATED_NATIONAL_TEAM,,Japan,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=28
Japon FEM,japonfem,Japon FEM|japonfem,Selecciones,CURATED_NATIONAL_TEAM,,Japan,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Astana,astana,astana|Astana,Kazakhstan Premier League,CURATED_TEAM_CATALOG,,Kazakhstan,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=16
Kairat,kairat,Kairat|kairat,Kazakhstan Premier League,CURATED_TEAM_CATALOG,,Kazakhstan,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Okzhetpes FEM,okzhetpesfem,Okzhetpes FEM|okzhetpesfem,Kazakhstan Premier League,CURATED_TEAM_CATALOG,,Kazakhstan,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Kazajistán,kazajistan,kazajistan|Kazajistán,Selecciones,CURATED_NATIONAL_TEAM,,Kazakhstan,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=20
Drita,drita,drita|Drita,Football Superleague of Kosovo,CURATED_TEAM_CATALOG,,Kosovo,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Kosovo,kosovo,kosovo|Kosovo,Selecciones,CURATED_NATIONAL_TEAM,,Kosovo,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Letonia,letonia,letonia|Letonia,Selecciones,CURATED_NATIONAL_TEAM,,Latvia,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=26
Liechtenstein,liechtenstein,Liechtenstein|liechtenstein,Selecciones,CURATED_NATIONAL_TEAM,,Liechtenstein,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=18
Liecthenstein,liecthenstein,liecthenstein|Liecthenstein,Selecciones,CURATED_NATIONAL_TEAM,,Liechtenstein,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=12
Lituania,lituania,Lituania|lituania,Selecciones,CURATED_NATIONAL_TEAM,,Lithuania,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=38
F91 Dudelange,f91dudelange,F91 Dudelange|f91dudelange,Luxembourg National Division,CURATED_TEAM_CATALOG,,Luxembourg,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Luxemburgo,luxemburgo,luxemburgo|Luxemburgo,Selecciones,CURATED_NATIONAL_TEAM,,Luxembourg,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=38
Madagascar,madagascar,Madagascar|madagascar,Selecciones,CURATED_NATIONAL_TEAM,,Madagascar,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Malaui,malaui,Malaui|malaui,Selecciones,CURATED_NATIONAL_TEAM,,Malawi,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Malí,mali,mali|Malí,Selecciones,CURATED_NATIONAL_TEAM,,Mali,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=10
Hamrun Spartans,hamrunspartans,Hamrun Spartans|hamrunspartans,Maltese Premier League,CURATED_TEAM_CATALOG,,Malta,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Malta,malta,Malta|malta,Selecciones,CURATED_NATIONAL_TEAM,,Malta,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
Mauritania,mauritania,mauritania|Mauritania,Selecciones,CURATED_NATIONAL_TEAM,,Mauritania,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Monterrey,monterrey,Monterrey|monterrey,Liga MX,CURATED_TEAM_CATALOG,,Mexico,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Pachuca,pachuca,pachuca|Pachuca,Liga MX,CURATED_TEAM_CATALOG,,Mexico,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Mexico,mexico,Mexico|mexico,Selecciones,CURATED_NATIONAL_TEAM,,Mexico,APPROVED,HIGH,Logo not confirmed in current assets
Sheriff,sheriff,sheriff|Sheriff,Moldovan Super Liga,CURATED_TEAM_CATALOG,,Moldova,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=26
Moldavia,moldavia,Moldavia|moldavia,Selecciones,CURATED_NATIONAL_TEAM,,Moldova,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=38
Montenegro,montenegro,Montenegro|montenegro,Selecciones,CURATED_NATIONAL_TEAM,,Montenegro,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=28
Wydad,wydad,wydad|Wydad,Botola Pro,CURATED_TEAM_CATALOG,,Morocco,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Marruecos,marruecos,marruecos|Marruecos|Morocco,Selecciones,CURATED_NATIONAL_TEAM,,Morocco,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=24
Marruecos FEM,marruecosfem,Marruecos FEM|marruecosfem,Selecciones,CURATED_NATIONAL_TEAM,,Morocco,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Ajax,ajax,ajax|Ajax,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=194
PSV,psv,psv|PSV,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=130
Feyenoord,feyenoord,feyenoord|Feyenoord,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=54
Az Alkmaar,azalkmaar,Az Alkmaar|azalkmaar,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=34
Twente,twente,twente|Twente,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=22
SBV Vitesse,sbvvitesse,SBV Vitesse|sbvvitesse,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=8
Utrecht,utrecht,Utrecht|utrecht,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=6
Heerenveen,heerenveen,heerenveen|Heerenveen,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=4
Fortuna Sittard,fortunasittard,Fortuna Sittard|fortunasittard,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Heracles,heracles,Heracles|heracles,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
Sp Rotterdam,sprotterdam,Sp Rotterdam|sprotterdam,Eredivisie,CURATED_TEAM_CATALOG,,Netherlands,APPROVED,HIGH,Logo not confirmed in current assets; audit_unknown_count=2
